Text,Cost
Pay a £10 fine or take a 'Chance',
Annuity Matures. Collect £100,100
You inherit £100,100
Go to jail. Move directly tro jail. Do NOT pass 'GO'. Do NOT collect £200,
Pay hospital £100,-100
Doctor's Fee. Pay £50,-50
It is your birthday. Collect £10 from each player,10
Go back to Old Kent Road,
Receive interest on 7% preference shares £25,25
From sale of stock you get £50,50
Advance to 'GO',
Pay your insurance premium £50,-50
You have won second prize in a beauty contest. Collect £10,10
Bank error in your favour. Collect £200,200
Income tax refund. Collect £20,20
Get out of jail free. This card may be kept until needed or sold.,
